epoch,train_loss,train_acc,train_bacc,val_loss,val_acc,val_bacc,lr
1,0.019745132512064605,0.46930087817310445,0.29497305753299624,0.014960233137120301,0.5346013971376992,0.41861978921362764,0.000998794204878613
2,0.014431526409697993,0.5445781352441986,0.39640705117846103,0.013503580982792583,0.586222233850501,0.42938220943715855,0.0009951826940270774
3,0.013249717187693263,0.5723038423536148,0.430365648322678,0.012364103785458417,0.5752335103738783,0.5085904225854536,0.000989183062363234
4,0.012415292103725594,0.5930161690968022,0.4676378774641062,0.011402604866667918,0.6277439104157401,0.46140278632647236,0.000980824539489468
5,0.011831728982516521,0.6119232083329486,0.4927056179516688,0.010907024817088946,0.6345987807749667,0.48291654873897927,0.0009701478472890248
6,0.011336651544080176,0.6243016630807162,0.5123443109113022,0.010635893305748056,0.653515083331153,0.578503104080212,0.0009572050015330875
7,0.010941985116516941,0.6364723481665482,0.532616084145989,0.01014798543783439,0.6565500641008869,0.5867315150369168,0.000942059058465169
8,0.010564714850816212,0.6454202949405778,0.5487045703298351,0.009903380199123549,0.6703121320739908,0.5983321723581836,0.0009247838075974309
9,0.010232018396820555,0.6571431209773485,0.557503535505766,0.009400979524226315,0.6816671463331676,0.624269430868235,0.000905463412215599
10,0.009935981767234904,0.6616540311931519,0.566907673102709,0.009534959971735356,0.6763820936134586,0.5654402313442424,0.0008841919993438941
11,0.009658206189881259,0.6680163999519821,0.5645064489808596,0.008947573672960674,0.7011852123178357,0.602774045752765,0.0008610732011676323
12,0.009373845837729915,0.677726168819776,0.5919569205074605,0.00884252641222739,0.7059731561183642,0.5998359157171458,0.0008362196501476349
13,0.009109503673996974,0.6835067825251863,0.6070829295013098,0.008346679931839998,0.7132989717694461,0.6590969781839321,0.0008097524302862008
14,0.008905847447367731,0.6903354787474721,0.6204002698026374,0.008243607130387132,0.725098767693153,0.657833433660528,0.0007818004872180196
15,0.00866718436157413,0.6957282557506025,0.6282119096872345,0.007967206212439742,0.7217498233955155,0.6567163808299418,0.0007525
16,0.008449747501789189,0.7031664096478997,0.6288285381350487,0.007786122538175283,0.7400643625232202,0.6850771553092954,0.0007219937176605934
17,0.008243596653285867,0.7084022051286787,0.6435714101688967,0.007612989365873051,0.7390439810575338,0.6613237467223119,0.0006904302637408765
18,0.008041572036021948,0.711140147562631,0.6517517138791726,0.0075605630212271695,0.7501111954161325,0.6367646485439553,0.000657963412215599
19,0.007842899919101868,0.717687200465404,0.6555863631545851,0.007478976976175653,0.751497867664373,0.7378166383881948,0.0006247513383218356
20,0.007699923087777634,0.7204943994533349,0.6617684343535124,0.007012431350458452,0.7545066848067816,0.6958830570219084,0.0005909558479451307
21,0.007475468580982425,0.7254670200289954,0.6755995252753915,0.006930487824920732,0.7618325004578634,0.7134928632899065,0.0005567415893174886
22,0.007302222741247135,0.7304950458478388,0.6785972049700578,0.006624933886146938,0.7568875748933832,0.7467341721933249,0.0005222752508677381
23,0.007150016413002795,0.7345488628073836,0.6837851091049523,0.006379759048285789,0.7725595876612333,0.7398450158328344,0.0004877247491322622
24,0.006979024094814343,0.7386996389424986,0.7030136181591149,0.006284749471210124,0.7731351874623897,0.7385548184738339,0.00045325841068251166
25,0.006851018645746461,0.7409758710165939,0.7024525326673245,0.006116337236221669,0.7821093116349651,0.765460333068261,0.00041904415205486954
26,0.006703782884355336,0.7448403867285974,0.7014999842258678,0.006090224205984438,0.7801208759582429,0.741291654751521,0.00038524866167816444
27,0.00660286690774937,0.7483724709815038,0.7075053127684363,0.0058421484254004685,0.7861646738703854,0.786755165720547,0.0003520365877844011
28,0.006402584370728468,0.7513828225277719,0.7231464948507792,0.0057964043899651685,0.7922869626645038,0.7920950604014377,0.00031956973625912356
29,0.006265475342461741,0.7556074723204639,0.7248089170659289,0.005595327032010335,0.7959760341173701,0.8018246602018924,0.0002880062823394067
30,0.006182442797245064,0.7567802166345008,0.7386137895727529,0.005568042592433298,0.7927317443290338,0.7824707875513851,0.00025750000000000013
31,0.006033009096715593,0.7600121891535002,0.7355825480279845,0.0053956631316616575,0.8023337955574161,0.791759095593215,0.00022819951278198037
32,0.005918174650112084,0.7629625183529868,0.7390272601543468,0.005256441214408992,0.8012872504644044,0.8166266242446183,0.00020024756971379914
33,0.0058503400063591605,0.7649801926255622,0.7499938704359204,0.005160595867538676,0.8017320321289344,0.8304056877807728,0.00017378034985236516
34,0.0057347537606454255,0.7671040602809046,0.7510607765579744,0.005028510497931355,0.8051856309358729,0.8201318467951657,0.0001489267988323676
35,0.005604811101983069,0.7705530366690367,0.7560166155392165,0.004949182660631854,0.8105491745375579,0.8312247987176014,0.00012580800065610593
36,0.0055498229551236445,0.7723167702436907,0.756095774489588,0.004851181096979244,0.8135841553072918,0.8356755867237591,0.00010453658778440106
